year,pop,control
2000,58886,55000
2001,59113,55000
2002,59366,55000
2003,59637,55000
2004,59950,55000
2005,60413,55000
2006,60827,55000
2007,61319,55000
2008,61824,55000
2009,62260,55000
2010,62759,55000
2011,63285,55000
2012,63705,55000
2013,64106,55000
2014,64597,55000
2020,67081,55000
2021,67351,55000
2022,67596,55000
2023,67844,55000
2024,68082,55000
2025,68305,55000
2026,68512,55000
2027,68702,55000
2028,68881,55000
2029,69049,55000
2030,69207,55000
2031,69355,55000
2032,69494,55000
2033,69624,55000
2034,69747,55000
2035,69863,55000
2036,69975,55000
2037,70086,55000
2038,70196,55000
2039,70307,55000
2040,70400,55000
2041,70530,55000
2042,70642,55000
2043,70752,55000
2044,70862,55000
2045,70968,55000
2046,71070,55000
2047,71165,55000
2048,71253,55000
2049,71332,55000
2050,71402,55000
